p,d,q,P,D,Q,AIC,BIC,order,seasonal_order
2,0,1,2,1,1,231.0705817385785,233.18867738953682,"(2, 0, 1)","(2, 1, 1, 12)"
2,0,2,2,1,1,231.19505294867204,233.61573369262442,"(2, 0, 2)","(2, 1, 1, 12)"
0,2,1,2,1,0,231.3435581246359,232.55389849661208,"(0, 2, 1)","(2, 1, 0, 12)"
1,0,1,2,1,2,231.42036411381883,233.53845976477714,"(1, 0, 1)","(2, 1, 2, 12)"
0,0,1,0,2,1,231.65554398409586,232.563299263078,"(0, 0, 1)","(0, 2, 1, 12)"
0,2,2,2,1,0,231.67271080917754,233.18563627414778,"(0, 2, 2)","(2, 1, 0, 12)"
1,1,0,2,1,2,231.7482542307115,233.56376478867577,"(1, 1, 0)","(2, 1, 2, 12)"
0,0,1,1,1,2,231.74887660191797,233.2618020668882,"(0, 0, 1)","(1, 1, 2, 12)"
1,0,1,0,2,1,232.8291321779742,234.03947254995037,"(1, 0, 1)","(0, 2, 1, 12)"
0,1,0,0,2,1,233.0224634698971,233.6276336558852,"(0, 1, 0)","(0, 2, 1, 12)"
0,0,1,1,2,1,233.28486865626,234.49520902823616,"(0, 0, 1)","(1, 2, 1, 12)"
